"Date","Cancer Site","Stage","Observed Count","Proportion (where stage known)","Proportion of total","Rolling Average","Rolling Proportion","LowerCI (rolling average)","Upper (rolling average)"
2024-07-01,"Lung","Stage I",1110,0.314447592067989,0.290575916230366,872.416666666667,0.264669447604601,NA,NA
2024-07-01,"Lung","Stage II",320,0.0906515580736544,0.0837696335078534,251.666666666667,0.0763493869295917,NA,NA
2024-07-01,"Lung","Stage III",683,0.193484419263456,0.178795811518325,580.5,0.176109215017065,NA,NA
2024-07-01,"Lung","Stage IV",1417,0.401416430594901,0.370942408376963,1270.66666666667,0.385488560232588,NA,NA
2024-07-01,"Lung","Unknown stage",290,NA,0.0759162303664921,321,0.0973833902161547,NA,NA
2024-07-01,"Lung","Total",3820,NA,NA,3296.25,1,NA,NA
2024-07-01,"Lung","TotalKnown",3530,NA,NA,2975.25,NA,NA,NA
2024-07-01,"Lung","Early stages (I+II)",1430,0.405099150141643,0.37434554973822,1124.08333333333,0.341018834534193,36.0557995783232,39.5379898912637
2024-07-01,"Lung","Late stages (III+IV)",2100,0.594900849858357,0.549738219895288,1851.16666666667,0.561597775249652,60.4620101087363,63.9442004216768
2024-07-01,"Melanoma Skin","Stage I",1059,0.667717528373266,0.598305084745763,877.666666666667,0.590722979415559,NA,NA
2024-07-01,"Melanoma Skin","Stage II",414,0.261034047919294,0.233898305084746,343.916666666667,0.231476807448539,NA,NA
2024-07-01,"Melanoma Skin","Stage III",79,0.0498108448928121,0.0446327683615819,69.1666666666667,0.0465533681081384,NA,NA
2024-07-01,"Melanoma Skin","Stage IV",34,0.021437578814628,0.0192090395480226,26.4166666666667,0.0177800213135902,NA,NA
2024-07-01,"Melanoma Skin","Unknown stage",184,NA,0.103954802259887,168.583333333333,0.113466823714174,NA,NA
2024-07-01,"Melanoma Skin","Total",1770,NA,NA,1485.75,1,NA,NA
2024-07-01,"Melanoma Skin","TotalKnown",1586,NA,NA,1317.16666666667,NA,NA,NA
2024-07-01,"Melanoma Skin","Early stages (I+II)",1473,0.92875157629256,0.832203389830508,1221.58333333333,0.822199786864098,91.2144884858313,94.023442929964
2024-07-01,"Melanoma Skin","Late stages (III+IV)",113,0.0712484237074401,0.0638418079096045,95.5833333333333,0.0643333894217286,5.97655707003599,8.78551151416869
2024-07-01,"Non-Hodgkin Lymphoma","Stage I",125,0.207986688851913,0.127681307456588,85,0.0996580361504641,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Stage II",76,0.126455906821963,0.0776302349336057,64.5,0.0756228627259404,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Stage III",129,0.214642262895175,0.131767109295199,103.25,0.121055202735711,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Stage IV",271,0.450915141430948,0.276813074565884,217,0.254421104054714,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Unknown stage",378,NA,0.386108273748723,383.166666666667,0.44924279433317,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Total",979,NA,NA,852.916666666667,1,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","TotalKnown",601,NA,NA,469.75,NA,NA,NA
2024-07-01,"Non-Hodgkin Lymphoma","Early stages (I+II)",201,0.334442595673877,0.205311542390194,149.5,0.175280898876404,27.7751481423083,36.1705698769334
2024-07-01,"Non-Hodgkin Lymphoma","Late stages (III+IV)",400,0.665557404326123,0.408580183861083,320.25,0.375476306790425,63.8294301230666,72.2248518576917
2024-07-01,"Oesophageal","Stage I",43,0.0754385964912281,0.063049853372434,31.25,0.0437266791044776,NA,NA
2024-07-01,"Oesophageal","Stage II",163,0.285964912280702,0.23900293255132,145.916666666667,0.204174440298507,NA,NA
2024-07-01,"Oesophageal","Stage III",124,0.217543859649123,0.181818181818182,144,0.201492537313433,NA,NA
2024-07-01,"Oesophageal","Stage IV",240,0.421052631578947,0.351906158357771,266,0.372201492537313,NA,NA
2024-07-01,"Oesophageal","Unknown stage",112,NA,0.164222873900293,127.5,0.178404850746269,NA,NA
2024-07-01,"Oesophageal","Total",682,NA,NA,714.666666666667,1,NA,NA
2024-07-01,"Oesophageal","TotalKnown",570,NA,NA,587.166666666667,NA,NA,NA
2024-07-01,"Oesophageal","Early stages (I+II)",206,0.36140350877193,0.302052785923754,177.166666666667,0.247901119402985,26.5991695130196,34.0048690285261
2024-07-01,"Oesophageal","Late stages (III+IV)",364,0.63859649122807,0.533724340175953,410,0.573694029850746,65.9951309714739,73.4008304869804
2024-07-01,"Oesophago-gastric","Stage I",89,0.108669108669109,0.0856592877767084,70.1666666666667,0.0666455596010765,NA,NA
2024-07-01,"Oesophago-gastric","Stage II",199,0.242979242979243,0.19153031761309,184.916666666667,0.175637169542504,NA,NA
2024-07-01,"Oesophago-gastric","Stage III",169,0.206349206349206,0.162656400384986,189.75,0.180227956308374,NA,NA
2024-07-01,"Oesophago-gastric","Stage IV",362,0.442002442002442,0.348411934552454,372.083333333333,0.353411429476017,NA,NA
2024-07-01,"Oesophago-gastric","Unknown stage",220,NA,0.211742059672762,235.916666666667,0.224077885072028,NA,NA
2024-07-01,"Oesophago-gastric","Total",1039,NA,NA,1052.83333333333,1,NA,NA
2024-07-01,"Oesophago-gastric","TotalKnown",819,NA,NA,816.916666666667,NA,NA,NA
2024-07-01,"Oesophago-gastric","Early stages (I+II)",288,0.351648351648352,0.277189605389798,255.083333333333,0.242282729143581,28.1414387186737,34.4845785604298
2024-07-01,"Oesophago-gastric","Late stages (III+IV)",531,0.648351648351648,0.51106833493744,561.833333333333,0.533639385784391,65.5154214395702,71.8585612813263
2024-07-01,"Ovarian","Stage I",154,0.382133995037221,0.295019157088123,109.166666666667,0.233345208407553,NA,NA
2024-07-01,"Ovarian","Stage II",27,0.0669975186104218,0.0517241379310345,24.3333333333333,0.0520128250801567,NA,NA
2024-07-01,"Ovarian","Stage III",117,0.290322580645161,0.224137931034483,113.416666666667,0.242429640185251,NA,NA
2024-07-01,"Ovarian","Stage IV",105,0.260545905707196,0.201149425287356,98.3333333333333,0.210188813680085,NA,NA
2024-07-01,"Ovarian","Unknown stage",119,NA,0.227969348659004,122.583333333333,0.262023512646954,NA,NA
2024-07-01,"Ovarian","Total",522,NA,NA,467.833333333333,1,NA,NA
2024-07-01,"Ovarian","TotalKnown",403,NA,NA,345.25,NA,NA,NA
2024-07-01,"Ovarian","Early stages (I+II)",181,0.449131513647643,0.346743295019157,133.5,0.285358033487709,33.6822695812442,43.9024011338901
2024-07-01,"Ovarian","Late stages (III+IV)",222,0.550868486352357,0.425287356321839,211.75,0.452618453865337,56.0975988661099,66.3177304187558
2024-07-01,"Pancreatic","Stage I",76,0.131715771230503,0.0946450809464508,68.8333333333333,0.0865102639296188,NA,NA
2024-07-01,"Pancreatic","Stage II",80,0.138648180242634,0.099626400996264,74.25,0.0933179723502304,NA,NA
2024-07-01,"Pancreatic","Stage III",94,0.162911611785095,0.11706102117061,89.75,0.11279849183075,NA,NA
2024-07-01,"Pancreatic","Stage IV",327,0.566724436741768,0.407222914072229,282.25,0.354733975701718,NA,NA
2024-07-01,"Pancreatic","Unknown stage",226,NA,0.281444582814446,280.583333333333,0.352639296187683,NA,NA
2024-07-01,"Pancreatic","Total",803,NA,NA,795.666666666667,1,NA,NA
2024-07-01,"Pancreatic","TotalKnown",577,NA,NA,515.083333333333,NA,NA,NA
2024-07-01,"Pancreatic","Early stages (I+II)",156,0.270363951473137,0.194271481942715,143.083333333333,0.179828236279849,24.0859083096376,31.8004416725156
2024-07-01,"Pancreatic","Late stages (III+IV)",421,0.729636048526863,0.524283935242839,372,0.467532467532468,68.1995583274844,75.9140916903624
2024-07-01,"Prostate","Stage I",1915,0.424329714159096,0.376080125687353,1715.41666666667,0.353293515944118,NA,NA
2024-07-01,"Prostate","Stage II",621,0.137602481719477,0.121956009426551,632.333333333333,0.130230323001407,NA,NA
2024-07-01,"Prostate","Stage III",1241,0.274983381342787,0.243715632364493,1267.16666666667,0.260975526035767,NA,NA
2024-07-01,"Prostate","Stage IV",736,0.163084422778639,0.144540455616654,720.666666666667,0.148422750832389,NA,NA
2024-07-01,"Prostate","Unknown stage",579,NA,0.113707776904949,519.916666666667,0.107077884186318,NA,NA
2024-07-01,"Prostate","Total",5092,NA,NA,4855.5,1,NA,NA
2024-07-01,"Prostate","TotalKnown",4513,NA,NA,4335.58333333333,NA,NA,NA
2024-07-01,"Prostate","Early stages (I+II)",2536,0.561932195878573,0.498036135113904,2347.75,0.483523838945526,52.6645310795443,55.6295789443792
2024-07-01,"Prostate","Late stages (III+IV)",1977,0.438067804121427,0.388256087981147,1987.83333333333,0.409398276868156,44.3704210556208,47.3354689204557
2024-07-01,"Stomach","Stage I",46,0.184738955823293,0.128851540616246,38.9166666666667,0.115081320847708,NA,NA
2024-07-01,"Stomach","Stage II",36,0.144578313253012,0.100840336134454,39,0.115327747658945,NA,NA
2024-07-01,"Stomach","Stage III",45,0.180722891566265,0.126050420168067,45.75,0.135288319369147,NA,NA
2024-07-01,"Stomach","Stage IV",122,0.48995983935743,0.341736694677871,106.083333333333,0.313701330704781,NA,NA
2024-07-01,"Stomach","Unknown stage",108,NA,0.302521008403361,108.416666666667,0.320601281419418,NA,NA
2024-07-01,"Stomach","Total",357,NA,NA,338.166666666667,1,NA,NA
2024-07-01,"Stomach","TotalKnown",249,NA,NA,229.75,NA,NA,NA
2024-07-01,"Stomach","Early stages (I+II)",82,0.329317269076305,0.2296918767507,77.9166666666667,0.230409068506653,28.1014198203366,40.2550145117057
2024-07-01,"Stomach","Late stages (III+IV)",167,0.670682730923695,0.467787114845938,151.833333333333,0.448989650073928,59.7449854882943,71.8985801796634
2024-07-01,"Urological excl prostate","Stage I",664,0.486803519061584,0.351694915254237,552.833333333333,0.330214036834246,NA,NA
2024-07-01,"Urological excl prostate","Stage II",246,0.180351906158358,0.130296610169492,217.416666666667,0.129865604778497,NA,NA
2024-07-01,"Urological excl prostate","Stage III",292,0.214076246334311,0.154661016949153,228.666666666667,0.136585365853659,NA,NA
2024-07-01,"Urological excl prostate","Stage IV",162,0.118768328445748,0.0858050847457627,137.333333333333,0.0820308611249378,NA,NA
2024-07-01,"Urological excl prostate","Unknown stage",524,NA,0.277542372881356,537.916666666667,0.321304131408661,NA,NA
2024-07-01,"Urological excl prostate","Total",1888,NA,NA,1674.16666666667,1,NA,NA
2024-07-01,"Urological excl prostate","TotalKnown",1364,NA,NA,1136.25,NA,NA,NA
2024-07-01,"Urological excl prostate","Early stages (I+II)",910,0.667155425219941,0.481991525423729,770.25,0.460079641612743,65.0157348910291,70.4419467600688
2024-07-01,"Urological excl prostate","Late stages (III+IV)",454,0.332844574780059,0.240466101694915,366,0.218616226978596,29.5580532399312,34.9842651089709
2024-07-01,"Uterine","Stage I",546,0.718421052631579,0.639344262295082,441.666666666667,0.605230101632979,NA,NA
2024-07-01,"Uterine","Stage II",41,0.0539473684210526,0.0480093676814988,43.9166666666667,0.0601804270869019,NA,NA
2024-07-01,"Uterine","Stage III",115,0.151315789473684,0.134660421545667,89,0.121959575196985,NA,NA
2024-07-01,"Uterine","Stage IV",58,0.0763157894736842,0.0679156908665105,56.0833333333333,0.0768528034715085,NA,NA
2024-07-01,"Uterine","Unknown stage",94,NA,0.110070257611241,99.0833333333333,0.135777092611625,NA,NA
2024-07-01,"Uterine","Total",854,NA,NA,729.75,1,NA,NA
2024-07-01,"Uterine","TotalKnown",760,NA,NA,630.666666666667,NA,NA,NA
2024-07-01,"Uterine","Early stages (I+II)",587,0.772368421052632,0.687353629976581,485.583333333333,0.665410528719881,73.5530412400935,80.1105741373242
2024-07-01,"Uterine","Late stages (III+IV)",173,0.227631578947368,0.202576112412178,145.083333333333,0.198812378668494,19.8894258626758,26.4469587599065
2024-06-01,"All Cancers Combined","Stage I",7115,0.377273450342012,0.317336425672361,6813.41666666667,0.302007572259673,NA,NA
2024-06-01,"All Cancers Combined","Stage II",3997,0.211941248210404,0.178270371526694,4012.41666666667,0.177852063902484,NA,NA
2024-06-01,"All Cancers Combined","Stage III",3923,0.208017392226523,0.174969894295527,3962.16666666667,0.175624711423031,NA,NA
2024-06-01,"All Cancers Combined","Stage IV",3824,0.202767909221062,0.170554390972749,3884.33333333333,0.172174716040262,NA,NA
2024-06-01,"All Cancers Combined","Unknown stage",3562,NA,0.15886891753267,3888.08333333333,0.17234093637455,NA,NA
2024-06-01,"All Cancers Combined","Total",22421,NA,NA,22560.4166666667,1,NA,NA
2024-06-01,"All Cancers Combined","TotalKnown",18859,NA,NA,18672.3333333333,NA,NA,NA
2024-06-01,"All Cancers Combined","Early stages (I+II)",11112,0.589214698552415,0.495606797199054,10825.8333333333,0.479859636162157,57.2683886884613,58.6841999250538
2024-06-01,"All Cancers Combined","Late stages (III+IV)",7747,0.410785301447585,0.345524285268275,7846.5,0.347799427463293,41.3158000749462,42.7316113115387
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Stage I",4411,0.380586712683348,0.30730110073847,4300.5,0.295435029024834,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Stage II",3151,0.271872303710095,0.219520691096558,3142.91666666667,0.215911562990188,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Stage III",2143,0.184900776531493,0.149296363383029,2143.58333333333,0.147259528961861,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Stage IV",1885,0.162640207075065,0.131322279503971,1918.91666666667,0.131825415908128,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Unknown stage",2764,NA,0.192559565277971,3050.58333333333,0.209568463114989,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Total",14354,NA,NA,14556.5,1,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","TotalKnown",11590,NA,NA,11505.9166666667,NA,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Early stages (I+II)",7562,0.652459016393443,0.526821791835029,7443.41666666667,0.511346592015022,63.8140359679958,65.5603142990174
2024-06-01,"All Cancers Combined (excluding Lung and Prostate)","Late stages (III+IV)",4028,0.347540983606557,0.280618642887,4062.5,0.279084944869989,34.4396857009826,36.1859640320042
2024-06-01,"All Cancers Combined (excluding Lung)","Stage I",6159,0.38889941276757,0.321753212830425,5968,0.308882706864204,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Stage II",3766,0.237797562669698,0.196740152544144,3769.66666666667,0.195104699057601,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Stage III",3365,0.212477110563869,0.175791453348657,3389.41666666667,0.175424295357012,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Stage IV",2547,0.160825913998863,0.13305819663567,2631.91666666667,0.136218757413038,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Unknown stage",3305,NA,0.172656984641103,3562.25,0.184369541308145,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Total",19142,NA,NA,19321.25,1,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","TotalKnown",15837,NA,NA,15759,NA,NA,NA
2024-06-01,"All Cancers Combined (excluding Lung)","Early stages (I+II)",9925,0.626696975437267,0.518493365374569,9737.66666666667,0.503987405921805,61.0297312135878,62.5468133011939
2024-06-01,"All Cancers Combined (excluding Lung)","Late stages (III+IV)",5912,0.373303024562733,0.308849649984328,6021.33333333333,0.31164305277005,37.453186698806,38.9702687864122
2024-06-01,"All Cancers Combined (excluding Prostate)","Stage I",5367,0.367300848617575,0.304372483411785,5145.91666666667,0.289166838368891,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Stage II",3382,0.231453599781002,0.191799466908637,3385.66666666667,0.190252308614457,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Stage III",2701,0.184848070079387,0.153178699030227,2716.33333333333,0.152640155843183,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Stage IV",3162,0.216397481522037,0.179322860545568,3171.33333333333,0.178208178020866,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Unknown stage",3021,NA,0.171326490103783,3376.41666666667,0.189732519152603,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Total",17633,NA,NA,17795.6666666667,1,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","TotalKnown",14612,NA,NA,14419.25,NA,NA,NA
2024-06-01,"All Cancers Combined (excluding Prostate)","Early stages (I+II)",8749,0.598754448398576,0.496171950320422,8531.58333333333,0.479419146983348,58.3634017499271,59.9677353312965
2024-06-01,"All Cancers Combined (excluding Prostate)","Late stages (III+IV)",5863,0.401245551601424,0.332501559575795,5887.66666666667,0.330848333864049,40.0322646687035,41.6365982500729
2024-06-01,"Bladder","Stage I",258,0.526530612244898,0.338582677165354,227.333333333333,0.285774146239263,NA,NA
2024-06-01,"Bladder","Stage II",137,0.279591836734694,0.179790026246719,166.75,0.209616593337524,NA,NA
2024-06-01,"Bladder","Stage III",61,0.124489795918367,0.0800524934383202,64.4166666666667,0.0809763251623717,NA,NA
2024-06-01,"Bladder","Stage IV",34,0.0693877551020408,0.0446194225721785,37.6666666666667,0.047349675256652,NA,NA
2024-06-01,"Bladder","Unknown stage",272,NA,0.356955380577428,299.333333333333,0.37628326000419,NA,NA
2024-06-01,"Bladder","Total",762,NA,NA,795.5,1,NA,NA
2024-06-01,"Bladder","TotalKnown",490,NA,NA,496.166666666667,NA,NA,NA
2024-06-01,"Bladder","Early stages (I+II)",395,0.806122448979592,0.518372703412074,394.083333333333,0.495390739576786,75.6490574683805,82.7499934901186
2024-06-01,"Bladder","Late stages (III+IV)",95,0.193877551020408,0.124671916010499,102.083333333333,0.128326000419024,17.2500065098814,24.3509425316195
2024-06-01,"Blood","Stage I",87,0.158181818181818,0.088145896656535,103.083333333333,0.0965049149633328,NA,NA
2024-06-01,"Blood","Stage II",96,0.174545454545455,0.0972644376899696,98,0.0917459822125136,NA,NA
2024-06-01,"Blood","Stage III",115,0.209090909090909,0.116514690982776,125.333333333333,0.117334997659541,NA,NA
2024-06-01,"Blood","Stage IV",252,0.458181818181818,0.25531914893617,254.5,0.238258698704946,NA,NA
2024-06-01,"Blood","Unknown stage",437,NA,0.442755825734549,487.25,0.456155406459666,NA,NA
2024-06-01,"Blood","Total",987,NA,NA,1068.16666666667,1,NA,NA
2024-06-01,"Blood","TotalKnown",550,NA,NA,580.916666666667,NA,NA,NA
2024-06-01,"Blood","Early stages (I+II)",183,0.332727272727273,0.185410334346505,201.083333333333,0.188250897175846,30.85863466581,38.5731710314563
2024-06-01,"Blood","Late stages (III+IV)",367,0.667272727272727,0.371833839918946,379.833333333333,0.355593696364487,61.4268289685437,69.14136533419
2024-06-01,"Bowel","Stage I",633,0.239138647525501,0.205719857003575,646.333333333333,0.203132366036352,NA,NA
2024-06-01,"Bowel","Stage II",645,0.243672081601813,0.209619759506012,680.833333333333,0.213975171546802,NA,NA
2024-06-01,"Bowel","Stage III",847,0.319984888553079,0.275268118297043,858.083333333333,0.269682049133099,NA,NA
2024-06-01,"Bowel","Stage IV",522,0.197204382319607,0.169645758856029,512.666666666667,0.161123042271227,NA,NA
2024-06-01,"Bowel","Unknown stage",430,NA,0.139746506337342,483.916666666667,0.152087371012519,NA,NA
2024-06-01,"Bowel","Total",3077,NA,NA,3181.83333333333,1,NA,NA
2024-06-01,"Bowel","TotalKnown",2647,NA,NA,2697.91666666667,NA,NA,NA
2024-06-01,"Bowel","Early stages (I+II)",1278,0.482810729127314,0.415339616509587,1327.16666666667,0.417107537583154,47.3083096256707,51.0785432564514
2024-06-01,"Bowel","Late stages (III+IV)",1369,0.517189270872686,0.444913877153071,1370.75,0.430805091404327,48.9214567435486,52.6916903743293
2024-06-01,"Breast","Stage I",1414,0.405506165758532,0.353942428035044,1395.25,0.352365518983079,NA,NA
2024-06-01,"Breast","Stage II",1535,0.440206481215945,0.384230287859825,1455.83333333333,0.367665628419901,NA,NA
2024-06-01,"Breast","Stage III",371,0.106395182104961,0.0928660826032541,352.916666666667,0.0891278727165586,NA,NA
2024-06-01,"Breast","Stage IV",167,0.0478921709205621,0.04180225281602,164,0.0414176277464433,NA,NA
2024-06-01,"Breast","Unknown stage",508,NA,0.127158948685857,591.666666666667,0.149423352134018,NA,NA
2024-06-01,"Breast","Total",3995,NA,NA,3959.66666666667,1,NA,NA
2024-06-01,"Breast","TotalKnown",3487,NA,NA,3368,NA,NA,NA
2024-06-01,"Breast","Early stages (I+II)",2949,0.845712646974477,0.738172715894869,2851.08333333333,0.72003114740298,83.3953717087073,85.8299075688968
2024-06-01,"Breast","Late stages (III+IV)",538,0.154287353025523,0.134668335419274,516.916666666667,0.130545500463002,14.1700924311032,16.6046282912927
2024-06-01,"Cervical","Stage I",82,0.460674157303371,0.37962962962963,79,0.394506866416979,NA,NA
2024-06-01,"Cervical","Stage II",34,0.191011235955056,0.157407407407407,25.0833333333333,0.125260091552226,NA,NA
2024-06-01,"Cervical","Stage III",38,0.213483146067416,0.175925925925926,36.9166666666667,0.184352892218061,NA,NA
2024-06-01,"Cervical","Stage IV",24,0.134831460674157,0.111111111111111,27.5833333333333,0.137744486059093,NA,NA
2024-06-01,"Cervical","Unknown stage",38,NA,0.175925925925926,31.6666666666667,0.158135663753641,NA,NA
2024-06-01,"Cervical","Total",216,NA,NA,200.25,1,NA,NA
2024-06-01,"Cervical","TotalKnown",178,NA,NA,168.583333333333,NA,NA,NA
2024-06-01,"Cervical","Early stages (I+II)",116,0.651685393258427,0.537037037037037,104.083333333333,0.519766957969205,54.2192781419124,68.737590669606
2024-06-01,"Cervical","Late stages (III+IV)",62,0.348314606741573,0.287037037037037,64.5,0.322097378277154,31.262409330394,45.7807218580876
2024-06-01,"Gynaecological","Stage I",663,0.573529411764706,0.47732181425486,617.166666666667,0.445956524357199,NA,NA
2024-06-01,"Gynaecological","Stage II",90,0.0778546712802768,0.0647948164146868,95.5,0.0690070452218944,NA,NA
2024-06-01,"Gynaecological","Stage III",223,0.192906574394464,0.160547156227502,237.75,0.171795026193774,NA,NA
2024-06-01,"Gynaecological","Stage IV",180,0.155709342560554,0.129589632829374,179.833333333333,0.12994520382971,NA,NA
2024-06-01,"Gynaecological","Unknown stage",233,NA,0.167746580273578,253.666666666667,0.183296200397423,NA,NA
2024-06-01,"Gynaecological","Total",1389,NA,NA,1383.91666666667,1,NA,NA
2024-06-01,"Gynaecological","TotalKnown",1156,NA,NA,1130.25,NA,NA,NA
2024-06-01,"Gynaecological","Early stages (I+II)",753,0.651384083044983,0.542116630669546,712.666666666667,0.514963569579093,60.2002502690343,65.8191091960463
2024-06-01,"Gynaecological","Late stages (III+IV)",403,0.348615916955017,0.290136789056875,417.583333333333,0.301740230023484,34.1808908039537,39.7997497309657
2024-06-01,"Hodgkin Lymphoma","Stage I",9,0.0967741935483871,0.072,12.5,0.0869565217391304,NA,NA
2024-06-01,"Hodgkin Lymphoma","Stage II",35,0.376344086021505,0.28,33.1666666666667,0.230724637681159,NA,NA
2024-06-01,"Hodgkin Lymphoma","Stage III",23,0.247311827956989,0.184,20.5833333333333,0.143188405797101,NA,NA
2024-06-01,"Hodgkin Lymphoma","Stage IV",26,0.279569892473118,0.208,29,0.201739130434783,NA,NA
2024-06-01,"Hodgkin Lymphoma","Unknown stage",32,NA,0.256,48.5,0.337391304347826,NA,NA
2024-06-01,"Hodgkin Lymphoma","Total",125,NA,NA,143.75,1,NA,NA
2024-06-01,"Hodgkin Lymphoma","TotalKnown",93,NA,NA,95.25,NA,NA,NA
2024-06-01,"Hodgkin Lymphoma","Early stages (I+II)",44,0.473118279569892,0.352,45.6666666666667,0.31768115942029,38.1870714606831,57.8603510787773
2024-06-01,"Hodgkin Lymphoma","Late stages (III+IV)",49,0.526881720430108,0.392,49.5833333333333,0.344927536231884,42.1396489212227,61.8129285393169
2024-06-01,"Kidney","Stage I",342,0.534375,0.386440677966102,310.166666666667,0.363689661911276,NA,NA
2024-06-01,"Kidney","Stage II",42,0.065625,0.0474576271186441,47.9166666666667,0.0561852648035958,NA,NA
2024-06-01,"Kidney","Stage III",171,0.2671875,0.193220338983051,156.75,0.183799101035763,NA,NA
2024-06-01,"Kidney","Stage IV",85,0.1328125,0.096045197740113,95.8333333333333,0.112370529607192,NA,NA
2024-06-01,"Kidney","Unknown stage",245,NA,0.27683615819209,242.166666666667,0.283955442642173,NA,NA
2024-06-01,"Kidney","Total",885,NA,NA,852.833333333333,1,NA,NA
2024-06-01,"Kidney","TotalKnown",640,NA,NA,610.666666666667,NA,NA,NA
2024-06-01,"Kidney","Early stages (I+II)",384,0.6,0.433898305084746,358.083333333333,0.419874926714872,54.6899195419624,62.4782830617589
2024-06-01,"Kidney","Late stages (III+IV)",256,0.4,0.289265536723164,252.583333333333,0.296169630642955,37.5217169382411,45.3100804580376
2024-06-01,"Lung","Stage I",956,0.316346790205162,0.29155230253126,845.416666666667,0.260998199125289,NA,NA
2024-06-01,"Lung","Stage II",231,0.0764394440767703,0.070448307410796,242.75,0.0749421147414459,NA,NA
2024-06-01,"Lung","Stage III",558,0.184645929847783,0.170173833485819,572.75,0.176820169796758,NA,NA
2024-06-01,"Lung","Stage IV",1277,0.422567835870285,0.389448002439768,1252.41666666667,0.386647800360175,NA,NA
2024-06-01,"Lung","Unknown stage",257,NA,0.0783775541323574,325.833333333333,0.100591715976331,NA,NA
2024-06-01,"Lung","Total",3279,NA,NA,3239.16666666667,1,NA,NA
2024-06-01,"Lung","TotalKnown",3022,NA,NA,2913.33333333333,NA,NA,NA
2024-06-01,"Lung","Early stages (I+II)",1187,0.392786234281932,0.362000609942056,1088.16666666667,0.335940313866735,35.6124377081718,39.1233922468169
2024-06-01,"Lung","Late stages (III+IV)",1835,0.607213765718068,0.559621835925587,1825.16666666667,0.563467970156933,60.8766077531831,64.3875622918282
2024-06-01,"Melanoma Skin","Stage I",847,0.659143968871595,0.584541062801932,863.75,0.589758179231863,NA,NA
2024-06-01,"Melanoma Skin","Stage II",351,0.273151750972763,0.242236024844721,339.166666666667,0.231578947368421,NA,NA
2024-06-01,"Melanoma Skin","Stage III",64,0.0498054474708171,0.044168391994479,68.4166666666667,0.0467140825035562,NA,NA
2024-06-01,"Melanoma Skin","Stage IV",23,0.0178988326848249,0.0158730158730159,26.25,0.017923186344239,NA,NA
2024-06-01,"Melanoma Skin","Unknown stage",164,NA,0.113181504485852,167,0.11402560455192,NA,NA
2024-06-01,"Melanoma Skin","Total",1449,NA,NA,1464.58333333333,1,NA,NA
2024-06-01,"Melanoma Skin","TotalKnown",1285,NA,NA,1297.58333333333,NA,NA,NA
2024-06-01,"Melanoma Skin","Early stages (I+II)",1198,0.932295719844358,0.826777087646653,1202.91666666667,0.821337126600285,91.1597961631835,93.9968726417578
2024-06-01,"Melanoma Skin","Late stages (III+IV)",87,0.067704280155642,0.0600414078674948,94.6666666666667,0.0646372688477952,6.00312735824222,8.84020383681655
2024-06-01,"Non-Hodgkin Lymphoma","Stage I",73,0.168981481481481,0.0929936305732484,80.8333333333333,0.0961538461538461,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","Stage II",59,0.136574074074074,0.0751592356687898,62.3333333333333,0.0741475019825535,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","Stage III",90,0.208333333333333,0.114649681528662,100.5,0.1195479777954,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","Stage IV",210,0.486111111111111,0.267515923566879,211.333333333333,0.251387787470262,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","Unknown stage",353,NA,0.44968152866242,385.666666666667,0.458762886597938,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","Total",785,NA,NA,840.666666666667,1,NA,NA
2024-06-01,"Non-Hodgkin Lymphoma","TotalKnown",432,NA,NA,455,NA,NA,NA
